,FPD30,FPD30,APPROVED,APPROVED,Rows,Rows,FPD30 rate,FPD30 rate
data_type,train,valid,train,valid,train,valid,train,valid
MONTH,,,,,,,,
201701,169.0,169.0,1884.0,1885.0,2569,2571,0.08970276008492568,0.0896551724137931
201702,150.0,150.0,1714.0,1714.0,2321,2321,0.08751458576429405,0.08751458576429405
201703,187.0,186.0,1935.0,1933.0,2598,2596,0.09664082687338502,0.09622348680807036
201705,0.0,0.0,2.0,2.0,4,3,0.0,0.0
201706,182.0,182.0,1845.0,1846.0,2496,2497,0.0986449864498645,0.09859154929577464
